TiePointId,MunicipalityName,TiePointName,LPCSNorthing,LPCSEasting,PPCSNorthing,PPCSEasting,PRSNorthing,PRSEasting
5528,SANTIAGO CITY,"CAD 211, BBM # 4",38276.6,21464.76,,,,
5530,SANTIAGO CITY,"CAD 211, BBM # 41",52016.58,37646.76,,,,
5531,SANTIAGO CITY,"CAD 211, BBM # 42",49724.24,34561.62,,,,
5532,SANTIAGO CITY,"CAD 211, BBM # 43",48738.59,34308.03,,,,
5534,SAN MATEO,"CAD 211, BBM # 45",49348.72,31697.88,,,,
5535,SANTIAGO CITY,"CAD 211, BBM # 5",38143.32,23391.19,,,,
5537,SANTIAGO CITY,"CAD 211, BBM # 7",30620.56,32507.63,,,,
5539,SANTIAGO CITY,"CAD 211, BBM # 9",29683.62,32035.68,,,,
5540,SANTIAGO CITY,"CAD 211, BLLM # 1",30000,30000,,,,
5542,SANTIAGO CITY,"CAD 211, BLLM # 100",36374.57,21437.9,,,,
5543,SANTIAGO CITY,"CAD 211, BLLM # 101",36485.73,20964.87,,,,
5544,SANTIAGO CITY,"CAD 211, BLLM # 102",34466.12,22957.96,,,,
5545,SANTIAGO CITY,"CAD 211, BLLM # 108",13846.91,26831.97,,,,
5546,SANTIAGO CITY,"CAD 211, BLLM # 109",13865.28,26730.51,,,,
5730,JONES,"CAD 253, BBM # 25",26842.16,34404.24,,,,
5731,JONES,"CAD 253, BBM # 26",27502,34808.22,,,,
5732,JONES,"CAD 253, BBM # 27",28723.84,34817.54,,,,
5733,JONES,"CAD 253, BBM # 28",30148.29,38370.75,,,,
5735,JONES,"CAD 253, BBM # 3",28048.06,29723.28,,,,
5736,JONES,"CAD 253, BBM # 30",34783.19,29498.5,,,,
5737,JONES,"CAD 253, BBM # 31",25283.8,30126.19,,,,
5738,JONES,"CAD 253, BBM # 32",22551.94,33524.69,,,,
5739,JONES,"CAD 253, BBM # 33",21011.42,34671.74,,,,
5740,JONES,"CAD 253, BBM # 34",17601.57,34097.28,,,,
5741,JONES,"CAD 253, BBM # 35",20072.86,34834.55,,,,
5742,JONES,"CAD 253, BBM # 36",21262.29,36442.12,,,,
5743,JONES,"CAD 253, BBM # 37",26021.48,36007.07,,,,
5744,JONES,"CAD 253, BBM # 38",24491.93,36087.63,,,,
5745,JONES,"CAD 253, BBM # 39",26402.64,38755.83,,,,
5746,JONES,"CAD 253, BBM # 4",27499.86,27632.82,,,,
5747,JONES,"CAD 253, BBM # 40",28013.47,39159.59,,,,
5748,JONES,"CAD 253, BBM # 41",28974.18,39679.96,,,,
5749,JONES,"CAD 253, BBM # 42",29753.22,40610.71,,,,
5750,JONES,"CAD 253, BBM # 43",29458.88,43051.69,,,,
5751,JONES,"CAD 253, BBM # 44",28361.49,43107.93,,,,
5752,JONES,"CAD 253, BBM # 45",27895.74,45727.11,,,,
5753,JONES,"CAD 253, BBM # 46",26117.47,43378.3,,,,
5754,JONES,"CAD 253, BBM # 47",28477.83,46436.79,,,,
5755,JONES,"CAD 253, BBM # 48",26018.79,48938.3,,,,
5756,JONES,"CAD 253, BBM # 49",28433.02,49335.99,,,,
5757,JONES,"CAD 253, BBM # 5",27591.48,27167.94,,,,
5758,JONES,"CAD 253, BBM # 50",23593.42,48218.21,,,,
5759,JONES,"CAD 253, BBM # 51",23164.78,47310.52,,,,
5760,JONES,"CAD 253, BBM # 52",22793.7,45565.57,,,,
5761,JONES,"CAD 253, BBM # 53",22155.46,43638.36,,,,
5762,JONES,"CAD 253, BBM # 54",20043.59,41834.21,,,,
5763,JONES,"CAD 253, BBM # 55",16725.81,40392.91,,,,
5764,JONES,"CAD 253, BBM # 56",14645.49,40860.43,,,,
5765,JONES,"CAD 253, BBM # 57",14355.92,40154.51,,,,
