POINT,NORTH,EAST,ELEV,DESC
86,1981334.593,569559.0056,51.2024,tp
87,1981337.22,569559.2926,51.5779,tp
88,1981339.783,569559.7629,51.4706,tp
89,1981340.271,569556.9545,51.2856,tp
90,1981339.831,569553.1574,51.4917,tp
91,1981342.805,569552.7446,51.8846,tp
92,1981343.212,569556.2945,51.8075,tp
93,1981342.251,569558.8512,51.572,tp
94,1981343.582,569561.8043,51.912,tp
95,1981340.99,569561.7054,51.6455,tp
96,1981337.648,569562.1585,51.5467,tp
97,1981339.007,569565.4186,52.3085,tp
98,1981342.22,569565.3207,52.2409,tp
99,1981345.841,569564.405,52.2381,tp
100,1981345.848,569566.8659,52.928,tp
101,1981346.438,569570.0136,54.0261,tp
102,1981343.736,569569.7304,53.8978,tp
103,1981341.238,569569.6866,53.6366,tp
104,1981339.205,569569.2802,53.3686,tp
105,1981337.104,569570.0643,53.8635,tp
106,1981333.911,569569.7562,53.3471,tp
107,1981334.539,569572.878,54.4564,tp
108,1981336.639,569573.033,54.7215,tp
109,1981338.337,569573.4013,55.1534,tp
110,1981340.684,569572.7769,54.9979,tp
111,1981344.942,569573.3227,55.6914,tp
112,1981347.484,569573.2599,55.3703,tp
113,1981350.314,569572.613,55.5613,tp
114,1981353.401,569573.6325,55.976,tp
115,1981356.57,569575.1142,56.7244,tp
116,1981358.387,569571.6933,56.0457,tp
117,1981357.257,569568.8238,54.3409,tp
118,1981352.127,569565.9622,52.9869,tp
119,1981349.045,569562.3243,53.0142,tp
120,1981349.337,569558.1858,52.3234,tp
121,1981351.121,569556.1499,53.4123,tp
122,1981353.563,569559.1218,53.5056,tp
123,1981355.314,569561.0644,53.2031,tp
124,1981358.145,569562.6067,53.4989,tp
125,1981360.4,569564.2208,53.8312,tp
126,1981361.134,569566.2482,53.8642,tp
127,1981364.024,569567.8196,53.8487,tp
128,1981366.755,569566.0151,54.0092,tp
129,1981366.812,569563.6092,54.9878,tp
130,1981363.76,569569.8962,54.4554,tp
131,1981359.976,569571.8494,56.1033,tp
132,1981355.556,569576.5669,57.3144,tp
133,1981360.78,569575.4962,57.5439,tp
134,1981359.282,569578.7216,58.2517,tp
135,1981351.393,569578.8479,57.4624,tp
136,1981347.953,569578.735,57.1767,tp
137,1981344.469,569578.8858,57.1891,tp
138,1981344.187,569581.8562,57.6713,tp
139,1981346.623,569583.8219,58.3193,tp
140,1981349.636,569584.8219,58.938,tp
141,1981351.103,569586.7355,58.4571,tp
142,1981354.713,569587.2529,59.6645,tp
143,1981354.928,569583.4038,59.1599,tp
144,1981360.019,569581.3269,58.7911,tp
145,1981360.263,569585.3182,59.4909,tp
146,1981357.762,569589.7347,60.1488,tp
147,1981361.433,569589.6048,60.1762,tp
148,1981350.709,569592.8605,60.617,tp
149,1981349.127,569597.9547,60.3152,tp
150,1981341.61,569605.3235,59.0529,tp
151,1981346.472,569603.9984,59.9061,tp
152,1981347.857,569608.995,60.0609,tp
153,1981348.811,569612.0145,59.6502,tp
154,1981347.962,569614.8032,59.6265,tp
155,1981352.466,569614.5761,59.718,tp
156,1981351.811,569611.1618,59.8017,tp
157,1981351.232,569608.0037,60.0267,tp
158,1981350.292,569604.7457,60.2712,tp
159,1981348.999,569600.9979,60.1789,tp
160,1981353.923,569601.0893,60.4693,tp
161,1981354.84,569603.4451,60.5445,tp
162,1981354.994,569607.3372,60.1848,tp
163,1981355.328,569609.7188,59.8679,tp
164,1981357.694,569610.6322,60.0861,tp
165,1981355.836,569613.9411,59.8946,tp
166,1981359.391,569613.126,60.3612,tp
167,1981358.451,569608.8245,60.0981,tp
168,1981357.11,569606.2647,60.2183,tp
169,1981356.478,569603.7214,60.4314,tp
170,1981356.456,569600.6545,60.5447,tp
171,1981356.011,569596.7444,60.5885,tp
172,1981355.558,569594.0972,60.6585,tp
173,1981358.108,569594.5436,60.7598,tp
174,1981359.926,569590.9555,60.5024,tp
175,1981359.538,569594.6705,60.9007,tp
176,1981359.432,569596.8759,60.922,tp
177,1981359.364,569600.3611,60.7627,tp
178,1981359.394,569603.9204,60.4635,tp
179,1981359.257,569606.8761,60.3066,tp
180,1981359.288,569609.5093,60.1534,tp
181,1981359.587,569612.7586,60.1872,tp
182,1981362.768,569612.0012,60.4913,tp
183,1981362.367,569608.8926,60.3011,tp
184,1981362.146,569606.5161,60.4682,tp
185,1981362.109,569603.7586,60.6523,tp
186,1981362.274,569601.3116,60.8364,tp
187,1981362.449,569598.6676,61.1516,tp
188,1981362.755,569595.6193,61.1163,tp
189,1981363.663,569593.2323,60.8123,tp
190,1981364.666,569590.4938,60.4162,tp
191,1981365.62,569589.1322,60.1603,tp
192,1981367.454,569591.092,60.7214,tp
193,1981367.245,569594.0707,61.2074,tp
194,1981366.875,569598.4109,61.6282,tp
195,1981367.037,569600.5069,61.1548,tp
196,1981366.79,569603.3034,60.9681,tp
197,1981366.501,569606.2284,60.7142,tp
